,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2010-08-01,6.487513109721,5.582778637883,5.777973072874,3.42316851281,7.539671295804,4.468748223263,2.818888256072,6.693170270668,7.353071337134,5.078885948267,6.219933591785,1.759910056222,4.225331590821,5.746852810199,6.370591814194,3.462886792825,4.037597759109,4.417466201577,6.570459400881,2.040529605991,3.458923605877,6.353633395409,5.558148315928,3.913901186907,4.785717631833,8.11837356404,7.634545948591,7.445611129075,6.410506438235,3.544394416422,3.117115967793,4.266654590493
2010-07-01,5.805050913453,5.673168367813,5.479407164354,3.295500583244,7.492184424605,4.706432499852,2.524784027504,6.692905285748,7.457515311479,4.678546178321,6.093102662179,1.319807255814,4.600451974022,5.415490215666,6.253977127386,3.118244507956,4.362260017635,3.876455708358,6.635415522099,1.806176796607,3.760733442385,7.319239458729,4.847062588619,3.865220111648,4.418738468277,6.937109531811,7.004855202765,6.934808818281,6.19697967166,3.477266899142,2.682998045441,4.491813834692
2010-06-01,6.434793405507,5.303114745774,4.939375875806,3.366348405472,7.861546313443,4.124858100274,2.581721800843,6.64920162387,7.39690167013,4.596625911771,5.837697439064,1.533249446446,4.319534509985,4.889852420433,6.110715784111,3.798342266489,4.508338897946,3.797375417312,6.500687468735,2.063362887361,3.913620347418,7.008855764227,5.355271148303,4.067191995289,4.536030968748,6.213265266084,7.028095063167,6.73581788347,6.426143657543,2.605115741112,2.726742738016,5.066857831405
2010-05-01,6.657314191436,5.350964117539,5.731667614863,3.225781094526,7.671026578943,4.221618161066,2.350635800974,8.243966095117,6.3171459941,5.126410603323,5.817735316882,1.8288133344,4.050198874227,4.584633550331,6.118227749181,3.805007306436,4.217178594996,3.690062234635,6.412461668782,2.411546094748,4.066112189553,6.454941467834,5.068578466351,3.838658035092,4.611769169707,6.179917684568,7.499916506758,6.178007057056,6.355081127622,2.756113981721,2.668992742915,5.335025198794
2010-04-01,7.258249762318,5.268753813216,5.772555784691,2.776393802306,8.267079994504,3.926053231979,2.32860991354,8.434626803401,6.268293566725,5.334378465656,5.503623800896,2.038680603649,4.072746914763,4.679667693823,6.366798440183,4.234935966059,3.69476536994,3.793385595103,6.887150300477,2.640835265875,4.106565508145,5.882373685375,5.206292764512,4.244352720068,4.200234317656,6.746697985584,7.242585635148,6.173621383308,6.865961306946,2.712691491154,2.860990889702,5.705571651233
2010-03-01,7.549694824589,5.763955479936,6.214982081571,2.625374768581,7.922169816294,4.422534433639,2.314749265559,8.644547650958,6.360998140771,5.352646409682,5.551579923599,2.282457447373,4.038218579414,5.106029613643,6.917781991258,3.164047575727,4.203105375238,3.648513581691,6.863359743106,2.81162918233,4.321075976891,6.575115443751,4.824426963021,4.145401735393,3.716517677751,7.540798588659,6.962121236732,6.1916805647,6.490687712183,3.180366615473,2.889403926552,5.902528898514
2010-02-01,7.286357627765,5.739321033813,5.203518620555,2.789551034743,7.487902041279,4.634533558209,2.469249321228,9.178966025253,6.466538465007,5.184267884405,5.629131895017,1.815740456847,4.868425677747,5.293509054562,6.64709744082,3.356808680454,4.326754674828,3.666452648092,6.742582605664,2.530293012705,4.160646893019,7.926430335338,4.912357848807,3.894946111469,4.122140490982,6.954066569736,6.469505895811,6.90846668808,6.474368694877,3.156237285115,3.149882474664,5.587430042985
2010-01-01,7.139541718164,6.113371454807,5.408130026944,3.472407561045,6.892273792593,4.650589876041,2.771478058109,8.660860596937,6.339993249054,6.117546642541,6.088120921824,1.911815604459,4.810021797486,5.03819697844,6.60444011246,3.206124024317,4.069517368296,3.241314876354,6.826443081684,2.385936998434,3.546156583114,8.371805452706,5.141482630705,3.883234114582,4.674797539788,6.545512102956,6.22177635331,6.09174628279,6.129982727944,3.415527461356,2.834808901057,5.227199661816
2009-12-01,6.776776441473,6.560870038321,5.639838807595,3.420525092913,7.113197470097,4.255008220516,2.606859301845,8.572983291438,6.347925945933,7.114086021955,5.787272141865,1.905293279222,5.61763664323,4.718677618249,6.599523891484,3.621541630792,3.497144243859,3.733357031555,6.595277443514,2.01891444546,3.513414003474,8.113438681639,5.554370125093,3.706996704397,4.99839283894,6.288420486049,5.913698651165,6.4240126595,5.916286261701,3.127196481303,3.094320087933,4.611534918127
2009-11-01,7.223446435373,7.54765869606,6.384342578247,3.526322225359,8.051528936454,4.700922791918,2.858599765626,8.749281186174,7.338692416819,6.948220885139,6.780006233493,1.849693487611,6.53147756015,5.26423912156,7.687016762375,3.504106291798,4.146585646194,3.772906184754,7.594388774861,1.996715971906,4.043942874953,8.245606458162,5.936430032351,4.181696709901,5.75341946392,6.97834911432,5.553224578922,6.499772245312,6.807237966051,3.184102061065,3.090703591834,5.150190960514
2009-10-01,8.046731377903,7.857727951528,6.700329056591,3.005145348222,9.222415720984,4.674765870678,2.684391902747,9.246560492933,7.785546767223,6.81732330231,7.470864413126,1.923085868439,7.126597076301,5.459155381182,8.096310683338,3.479673276156,5.16813569767,4.393099145284,8.073733389425,1.810485645918,4.72907499443,8.017661582024,6.26772585821,4.621526077059,6.189967765322,7.25961166659,6.115229018476,6.85354613228,7.535419150066,3.214560254549,3.5074627491,5.468889078635
